gene1	gene2	gene3	gene4	gene5	gene6	gene7	gene8	gene9	gene10
ind1_context1	5.93520232462433	4.44129512122029	5.51086542897518	6.63927035835763	4.12337608095487	4.06396458178337	4.6553702221393	7.27981044472121	6.1734593631218	4.68966120034211
ind1_context10	5.06812075427526	5.77823743934973	5.06551797345741	5.75722059279891	4.80097591335626	5.22657230841538	3.84618069168635	6.9572991778194	6.57620754541779	5.47119098198885
ind1_context11	5.42942414783691	6.33632706064786	7.13981377180934	7.53575588619147	5.52036114456838	5.46693548710123	5.18656115812012	6.28916134504477	5.68267548534387	3.96834599522965
ind1_context12	4.62690277961685	6.39803606689589	4.66058637651551	8.7077163205501	5.50994084365073	5.30799096742212	4.50231857810895	6.22683362251078	6.42662609839148	5.02779029065027
ind1_context13	5.60445456339082	6.27643607267016	6.40698442194464	6.70866237301321	5.96955219695768	4.51062598042718	5.74659719943529	5.41462244031537	5.331571551995	4.97788054578671
ind1_context14	4.84116412934336	5.67767866309075	4.52938042361001	6.35986209560361	6.24797120732087	6.80735485692726	7.19181281597749	7.10814215789334	6.43402766930334	4.43412600580655
ind1_context15	4.89330278745188	6.64776368154471	5.44329630349306	5.51592713298436	5.22091922701459	2.38169423831789	6.21099351232656	5.51782645552423	5.8033879947474	3.89727061437686
ind1_context16	3.7355214959521	6.13428692438807	4.79074340645402	5.26127487039361	6.6131391783621	4.77534297107571	4.5372509406161	6.06280740696437	8.05653044904322	4.58409147677157
ind1_context17	7.05079035498502	7.15600925996084	5.99269976697155	5.26930535602029	5.75743822797158	4.8678447659689	4.19974728501218	5.08601453212271	7.13969580725057	5.44509928375364
ind1_context18	6.26879544976259	6.80653474059465	4.62856568878697	6.32420225384483	5.32038398422585	4.97715880828543	4.48917131038313	5.78614136159899	6.40121512844651	4.59543086808661
ind1_context19	6.81925546848206	6.49522413104987	7.58372434534431	4.54270269516428	5.55390128116356	5.21442616209428	4.20558453003711	7.13675652893599	6.23785562960208	3.97662867665479
ind1_context2	3.48404563068184	6.96423323933514	5.22502755776265	5.81099566003349	7.37360967697213	3.28014754594101	3.92556143947973	7.86898586660657	6.02373102314274	4.98670008470159
ind1_context20	6.12692423099137	6.35982730508517	7.38636240346403	6.9100157923234	4.85184300230282	5.45064763009849	4.52899921347568	7.0020280249583	6.71156361287916	5.00930423009137
ind1_context21	5.90316195571875	7.08321243605482	4.36888943018522	5.41607413541872	5.90380133229562	6.2478829058066	5.62522666209246	5.74354685495173	8.0301364149229	5.34975204319054
ind1_context22	4.92012946446853	6.07459361348057	4.78886819073975	6.83105676523499	5.00181502775853	4.17129964487188	3.71912144703271	5.51251262625297	5.6413486822221	4.06156592155347
ind1_context23	4.97607920016854	5.01066427198031	7.13704902781139	6.65694597905125	4.81724951107215	4.86548250287774	3.78013794318462	5.9454752197109	6.31065684476541	5.01513093316403
ind1_context24	3.63711059162006	4.77831846345869	6.36879586978743	7.1493745822947	6.71796332147499	4.35230655459732	5.11279242087539	6.55652139750789	5.83962388662969	5.05170981467798
ind1_context25	4.58556148857913	5.21736375855551	5.75109372711994	5.27012162243102	5.13916613818041	3.19519048501074	4.60795913942995	7.35082066839812	6.78184524838691	4.76136053792694
ind1_context26	4.95043821109651	6.29030132760461	5.93042638390545	6.11251702535937	5.13488796764683	4.03306188725068	6.02334384806225	5.53320041528419	7.71413145874283	4.95052929359484
ind1_context27	4.45720742407862	5.08098695931991	6.06521651326839	5.63194982568797	3.88384385743697	4.99820835670925	4.37074334084009	5.57548467288841	4.90215650767132	2.83262684364257
ind1_context28	2.57531387764523	6.33593730073517	4.18507080444249	6.14706963993113	5.64514920998938	4.69443109297328	6.07900504107492	6.02900492997995	3.2228734576115	4.96822123925977
ind1_context29	4.13102776113111	6.39006269910318	4.50483131258187	6.08925960646081	4.90923114625626	3.55843074662716	6.34219786717377	5.05387877582172	4.87825411591799	4.96783960222473
ind1_context3	7.16589022882679	5.50924971451528	6.9253893004767	7.04678134245993	4.67703575039977	5.91603395222642	4.39577071071969	6.30181291797988	5.71792881033453	4.95710115485018
ind1_context30	5.0259524604346	6.78847975669468	5.41071290868539	4.97527086804979	4.99055489436116	5.30922918157583	5.26432782961138	6.21944464015824	6.46410255126195	4.07154255830178
ind1_context31	5.13337046582833	7.1729318180454	4.9611244498047	5.08428484678744	4.30834173617904	5.0907078223372	4.31848151045247	4.81016924893179	6.28385938385026	5.31187022813958
ind1_context32	5.67329866967688	6.32839591182296	5.44454889675867	7.38123652293776	5.67662155322374	5.50990954299702	4.9078415526909	6.43542541234044	7.09830126025965	4.26798283468834
ind1_context33	5.20914656473014	5.36242746399279	5.5128510977251	6.881026559397	2.85647029356132	5.71046383251307	5.87662833057439	7.36852708034955	6.37987819468782	4.42750629715909
ind1_context34	4.17398918260182	6.54237165590837	3.66022596052913	5.48525207025198	5.46240603841938	4.51484678469671	4.53636432218975	6.87971824475183	6.53441724276756	4.97539231009212
ind1_context35	4.43853287996598	6.90822869353702	6.55399345108584	6.40400520935941	5.18656274381374	5.68067379495632	4.43822991066109	4.91053348154596	4.91472488598183	4.91958180351086
ind1_context36	4.28647306729387	4.77546854794504	6.33521307622869	6.16402059363538	4.91291115925309	3.97022915667674	4.53229897938943	5.82738377502096	5.48210117539367	4.67593439105112
ind1_context37	3.1277968814854	5.95744003178147	4.99196696592788	6.87769289780234	6.1103284235366	5.82159443574695	4.27932911956963	8.08932562314851	5.98578500565884	4.70511896125455
ind1_context38	5.35747446688979	6.31665620132206	5.36391875855134	6.7995797322286	4.7633494242395	6.057481510741	4.83805491399606	5.62335115539392	7.04585255211524	4.42611895047713
ind1_context39	4.8662596651913	7.46101851474028	4.69514327964589	5.34027152010949	4.32609551368528	6.19652763872823	3.3744593255981	6.23488172905472	5.63319713105855	5.79366868711222
