snpid	chr	pos
snp1	chr1	1
snp2	chr1	2
snp3	chr1	3
snp4	chr1	4
snp5	chr1	5
snp6	chr1	1000001
snp7	chr1	2000002
snp8	chr1	3000003
snp9	chr1	4000004
snp10	chr1	5000005
snp11	chr1	2000001
snp12	chr1	4000002
snp13	chr1	6000003
snp14	chr1	8000004
snp15	chr1	10000005
snp16	chr1	3000001
snp17	chr1	6000002
snp18	chr1	9000003
snp19	chr1	12000004
snp20	chr1	15000005
snp21	chr1	4000001
snp22	chr1	8000002
snp23	chr1	12000003
snp24	chr1	16000004
snp25	chr1	20000005
snp26	chr1	5000001
snp27	chr1	10000002
snp28	chr1	15000003
snp29	chr1	20000004
snp30	chr1	25000005
snp31	chr1	6000001
snp32	chr1	12000002
snp33	chr1	18000003
snp34	chr1	24000004
snp35	chr1	30000005
snp36	chr1	7000001
snp37	chr1	14000002
snp38	chr1	21000003
snp39	chr1	28000004
snp40	chr1	35000005
snp41	chr1	8000001
snp42	chr1	16000002
snp43	chr1	24000003
snp44	chr1	32000004
snp45	chr1	40000005
snp46	chr1	9000001
snp47	chr1	18000002
snp48	chr1	27000003
snp49	chr1	36000004
snp50	chr1	45000005
